Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",0,4.07,Avon,Paperback,397,2021,2021,,2022/05/11,to-read,to-read (#160),to-read,,,,0,0
30095464,"The Bone Witch (The Bone Witch, #1)",Rin Chupeco,"Chupeco, Rin",,"=""1492635820""","=""9781492635826""",0,3.71,Sourcebooks Fire,Hardcover,411,2017,2017,,2022/05/11,to-read,to-read (#159),to-read,,,,0,0
236066,"Bananas, Beaches and Bases: Making Feminist Sense of International Politics",Cynthia Enloe,"Enloe, Cynthia",,"=""0520229126""","=""9780520229129""",0,4.17,University of California Press,Paperback,263,2001,1990,,2022/05/11,to-read,to-read (#158),to-read,,,,0,0
311977,"Women, Politics, and Power: A Global Perspective (Sociology for a New Century)",Pamela M. Paxton,"Paxton, Pamela M.",Melanie M. Hughes,"=""1412927420""","=""9781412927420""",0,3.95,Sage Publications (CA),Paperback,379,2007,2007,,2022/05/11,to-read,to-read (#157),to-read,,,,0,0
36722186,Revisiting Gendered States: Feminist Imaginings of the State in International Relations,Swati Parashar,"Parashar, Swati",,"=""0190644044""","=""9780190644048""",0,4.00,"Oxford University Press, USA",Paperback,258,2018,,,2022/05/11,to-read,to-read (#156),to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",0,4.37,Abrams Press,Hardcover,411,2019,2019,,2022/05/11,to-read,to-read (#155),to-read,,,,0,0
228510,Masculinities,Raewyn W. Connell,"Connell, Raewyn W.",,"=""0745634273""","=""9780745634272""",0,4.02,Polity Press,Paperback,324,2006,1999,,2022/05/11,to-read,to-read (#154),to-read,,,,0,0
56143578,Apples Never Fall,Liane Moriarty,"Moriarty, Liane",,"=""1250220254""","=""9781250220257""",0,3.81,Henry Holt and Co.,Hardcover,467,2021,2021,,2022/05/11,to-read,to-read (#153),to-read,,,,0,0
54981009,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""""","=""""",0,3.88,Simon & Schuster,Hardcover,320,2021,2021,,2022/05/11,to-read,to-read (#152),to-read,,,,0,0
52149789,The Best of Friends,Lucinda Berry,"Berry, Lucinda",,"=""""","=""""",0,4.06,Thomas & Mercer,Kindle Edition,281,2020,2020,,2022/03/27,to-read,to-read (#151),to-read,,,,0,0
54496090,The Betrayal of Anne Frank: A Cold Case Investigation,Rosemary Sullivan,"Sullivan, Rosemary",,"=""0062892355""","=""9780062892355""",0,3.84,Harper,Hardcover,400,2022,2022,,2022/03/27,to-read,to-read (#150),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2022/03/27,to-read,to-read (#149),to-read,,,,0,0
